method_name,sample_id,regime_id,split,option_type,T,sigma,r,q,tau,tau_fraction,reference_found,reference_boundary,reference_in_sample_window,predicted_found,predicted_boundary,absolute_error,no_boundary_reason,is_no_dividend_call_control,downstream_use_status
premium_implied_boundary,54,put_T100_s060_r010_q010,stress_holdout,put,1.0,0.6,0.1,0.1,0.2,0.2,True,0.5668822688227378,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,55,put_T200_s020_r001_q000,train,put,2.0,0.2,0.01,0.0,0.6166666666666667,0.30833333333333335,True,0.733451202331101,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,56,put_T200_s020_r001_q003,train,put,2.0,0.2,0.01,0.03,0.3833333333333333,0.19166666666666665,True,0.30037134309723956,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,57,put_T200_s020_r005_q000,train,put,2.0,0.2,0.05,0.0,1.2166666666666666,0.6083333333333333,True,0.8000170909546859,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,58,put_T200_s020_r005_q003,train,put,2.0,0.2,0.05,0.03,0.05,0.025,True,0.900081370416308,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,59,put_T200_s020_r005_q006,train,put,2.0,0.2,0.05,0.06,0.8833333333333333,0.44166666666666665,True,0.6668343644572228,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,60,put_T200_s020_r005_q010,train,put,2.0,0.2,0.05,0.1,0.08333333333333333,0.041666666666666664,True,0.4675642808225721,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,61,put_T200_s020_r005_q010,train,put,2.0,0.2,0.05,0.1,1.65,0.825,True,0.43337684418759964,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,62,put_T200_s020_r010_q003,train,put,2.0,0.2,0.1,0.03,1.65,0.825,True,0.8333410285085512,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,63,put_T200_s020_r010_q010,train,put,2.0,0.2,0.1,0.1,1.7,0.85,True,0.7001516167423405,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,64,put_T200_s020_r010_q010,train,put,2.0,0.2,0.1,0.1,1.9333333333333333,0.9666666666666667,True,0.7000431707726313,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,65,put_T200_s040_r001_q000,train,put,2.0,0.4,0.01,0.0,1.0,0.5,True,0.43366674741669786,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,66,put_T200_s040_r005_q000,train,put,2.0,0.4,0.05,0.0,1.05,0.525,True,0.56689044796803,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,67,put_T200_s040_r005_q003,train,put,2.0,0.4,0.05,0.03,1.55,0.775,True,0.5000277035842354,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,68,put_T200_s040_r005_q010,train,put,2.0,0.4,0.05,0.1,1.35,0.675,True,0.3666977827578411,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,69,put_T200_s040_r010_q003,test,put,2.0,0.4,0.1,0.03,0.7833333333333333,0.39166666666666666,True,0.6666811839825182,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,70,put_T200_s060_r001_q003,train,put,2.0,0.6,0.01,0.03,1.0833333333333333,0.5416666666666666,True,0.2000602115781009,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,71,put_T200_s060_r001_q003,train,put,2.0,0.6,0.01,0.03,1.8666666666666667,0.9333333333333333,True,0.13367521899116513,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,72,put_T200_s060_r001_q006,train,put,2.0,0.6,0.01,0.06,0.25,0.125,True,0.1335497281546022,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,73,put_T200_s060_r005_q006,train,put,2.0,0.6,0.05,0.06,1.1666666666666667,0.5833333333333334,True,0.3333639317288267,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,74,call_T025_s020_r005_q003,train,call,0.25,0.2,0.05,0.03,0.18541666666666667,0.7416666666666667,True,1.763857244174715,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,75,call_T025_s020_r005_q010,train,call,0.25,0.2,0.05,0.1,0.03125,0.125,True,1.0666486068042125,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,76,call_T025_s020_r010_q000,test,call,0.25,0.2,0.1,0.0,0.035416666666666666,0.14166666666666666,False,nan,False,False,nan,nan,all_continuation_like,True,stage4_boundary_diagnostic_only
premium_implied_boundary,77,call_T025_s020_r010_q006,train,call,0.25,0.2,0.1,0.06,0.014583333333333334,0.058333333333333334,True,1.6951642964347684,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,78,call_T025_s020_r010_q006,train,call,0.25,0.2,0.1,0.06,0.08541666666666667,0.3416666666666667,True,1.7317576861986308,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,79,call_T025_s020_r010_q010,train,call,0.25,0.2,0.1,0.1,0.23333333333333334,0.9333333333333333,True,1.2295272042817307,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,80,call_T025_s040_r001_q003,train,call,0.25,0.4,0.01,0.03,0.22291666666666665,0.8916666666666666,True,1.4665045506668049,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,81,call_T025_s040_r001_q006,train,call,0.25,0.4,0.01,0.06,0.12708333333333333,0.5083333333333333,True,1.29989674627743,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,82,call_T025_s040_r001_q006,train,call,0.25,0.4,0.01,0.06,0.21666666666666667,0.8666666666666667,True,1.3665969051086155,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,83,call_T025_s040_r001_q010,train,call,0.25,0.4,0.01,0.1,0.029166666666666667,0.11666666666666667,True,1.1333017426788108,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,84,call_T025_s040_r005_q010,train,call,0.25,0.4,0.05,0.1,0.09166666666666666,0.36666666666666664,True,1.2663483450549768,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,85,call_T025_s040_r010_q000,test,call,0.25,0.4,0.1,0.0,0.0875,0.35,False,nan,False,False,nan,nan,all_continuation_like,True,stage4_boundary_diagnostic_only
premium_implied_boundary,86,call_T025_s040_r010_q000,test,call,0.25,0.4,0.1,0.0,0.25,1.0,False,nan,False,False,nan,nan,all_continuation_like,True,stage4_boundary_diagnostic_only
premium_implied_boundary,87,call_T025_s040_r010_q003,train,call,0.25,0.4,0.1,0.03,0.23124999999999998,0.9249999999999999,True,3.7313510356151425,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,88,call_T025_s040_r010_q006,train,call,0.25,0.4,0.1,0.06,0.13958333333333334,0.5583333333333333,True,1.8313501481880041,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,89,call_T025_s040_r010_q010,train,call,0.25,0.4,0.1,0.1,0.058333333333333334,0.23333333333333334,True,1.2664532547640182,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,90,call_T025_s060_r001_q003,train,call,0.25,0.6,0.01,0.03,0.020833333333333332,0.08333333333333333,True,1.2661623835244407,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,91,call_T025_s060_r001_q003,train,call,0.25,0.6,0.01,0.03,0.029166666666666667,0.11666666666666667,True,1.2997416130725143,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,92,call_T025_s060_r005_q003,train,call,0.25,0.6,0.05,0.03,0.022916666666666665,0.09166666666666666,True,1.7537416215720374,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,93,call_T025_s060_r005_q006,train,call,0.25,0.6,0.05,0.06,0.04583333333333333,0.18333333333333332,True,1.3985932603487634,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,94,call_T025_s060_r005_q006,train,call,0.25,0.6,0.05,0.06,0.18125,0.725,True,1.7329507897560958,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,95,call_T025_s060_r005_q010,stress_holdout,call,0.25,0.6,0.05,0.1,0.19166666666666665,0.7666666666666666,True,1.5998229442436267,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,96,call_T025_s060_r010_q003,train,call,0.25,0.6,0.1,0.03,0.16875,0.675,True,3.865446693663022,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,97,call_T025_s060_r010_q006,train,call,0.25,0.6,0.1,0.06,0.004166666666666667,0.016666666666666666,True,1.6901766607957038,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,98,call_T025_s060_r010_q006,train,call,0.25,0.6,0.1,0.06,0.22083333333333333,0.8833333333333333,True,2.1323534212890336,False,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,99,call_T050_s020_r005_q000,test,call,0.5,0.2,0.05,0.0,0.3833333333333333,0.7666666666666666,False,nan,False,False,nan,nan,all_continuation_like,True,stage4_boundary_diagnostic_only
premium_implied_boundary,100,call_T050_s020_r005_q006,validation,call,0.5,0.2,0.05,0.06,0.3375,0.675,True,1.233266311760033,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,101,call_T050_s020_r005_q010,validation,call,0.5,0.2,0.05,0.1,0.45416666666666666,0.9083333333333333,True,1.1666518954175578,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,102,call_T050_s020_r010_q000,test,call,0.5,0.2,0.1,0.0,0.325,0.65,False,nan,False,False,nan,nan,all_continuation_like,True,stage4_boundary_diagnostic_only
premium_implied_boundary,103,call_T050_s020_r010_q010,train,call,0.5,0.2,0.1,0.1,0.4875,0.975,True,1.2666235733783824,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,104,call_T050_s040_r005_q000,test,call,0.5,0.4,0.05,0.0,0.4041666666666667,0.8083333333333333,False,nan,False,False,nan,nan,all_continuation_like,True,stage4_boundary_diagnostic_only
premium_implied_boundary,105,call_T050_s040_r005_q003,validation,call,0.5,0.4,0.05,0.03,0.075,0.15,True,1.777597139215475,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
premium_implied_boundary,106,call_T050_s040_r005_q006,validation,call,0.5,0.4,0.05,0.06,0.29583333333333334,0.5916666666666667,True,1.5331182545910476,True,False,nan,nan,all_continuation_like,False,stage4_boundary_diagnostic_only
