case_name,case_family,variation_name,option_type,K,T,r,q,sigma,Smax,M,N,solver_name,solver_variant,premium_threshold,target_tau_fraction,target_tau,nearest_tau,time_index,target_moneyness,nearest_spot,actual_moneyness,value,payoff,continuation_premium,exercise_indicator,boundary_found_at_time,boundary_spot_at_time,boundary_distance,delta,gamma,boundary_near,kink_near,maturity_row,strict_interior,downstream_use_status
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1.5,1.5,1.5,5.72300583675e-19,0,5.72300583675e-19,1,True,0.93350759565,0.56649240435,-1.46962192338e-16,7.78759048964e-15,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.01,0.01,0.00833333333333,1,1.8,1.8,1.8,0,0,0,1,True,0.93350759565,0.86649240435,0,0,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,0.5,0.5,0.5,0.5,0.5,0,1,True,0.800576527695,0.300576527695,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,0.8,0.8,0.8,0.2,0.2,0,1,True,0.800576527695,0.000576527694908,-0.999132738974,0.052035661539,True,False,False,False,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1,1,1,0.0380065391828,0,0.0380065391828,0,True,0.800576527695,0.199423472305,-0.471889966635,4.06624441597,False,True,False,False,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1.2,1.2,1.2,0.0013837863961,0,0.0013837863961,0,True,0.800576527695,0.399423472305,-0.0296283394005,0.535223465766,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1.5,1.5,1.5,1.16085840856e-06,0,1.16085840856e-06,0,True,0.800576527695,0.699423472305,-3.38640013426e-05,0.000816462780506,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.25,0.25,0.25,30,1.8,1.8,1.8,3.5377768965e-10,0,3.5377768965e-10,1,True,0.800576527695,0.999423472305,-1.1169366208e-08,2.87298144607e-07,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,0.5,0.5,0.5,0.5,0.5,0,1,True,0.766740360868,0.266740360868,-1,0,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,0.8,0.8,0.8,0.200452319623,0.2,0.000452319622606,0,True,0.766740360868,0.033259639132,-0.960557101363,1.55239859754,True,False,False,False,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1,1,1,0.0532877118845,0,0.0532877118845,0,True,0.766740360868,0.233259639132,-0.459527339545,2.86121742629,False,True,False,False,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1.2,1.2,1.2,0.0065556100755,0,0.0065556100755,0,True,0.766740360868,0.433259639132,-0.0812680631486,0.877975908703,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1.5,1.5,1.5,9.95916496819e-05,0,9.95916496819e-05,0,True,0.766740360868,0.733259639132,-0.00158891177071,0.0231680565467,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.5,0.5,0.5,60,1.8,1.8,1.8,7.90319887402e-07,0,7.90319887402e-07,1,True,0.766740360868,1.03325963913,-1.38546639002e-05,0.000223342216475,False,False,False,True,pilot_diagnostic_only
american_put_r_003,american_put,r_003,put,1,1,0.03,0.02,0.2,4,120,120,american_crank_nicolson_psor_price,baseline_cn_psor,1e-06,0.75,0.75,0.75,90,0.5,0.5,0.5,0.5,0.5,0,1,True,0.733436087446,0.233436087446,-1,0,False,False,False,True,pilot_diagnostic_only
