regime_id,split,option_type,q,early_exercise_risk,arm,repeat,measured_total_seconds,internal_total_seconds,solver_setup_seconds,initialization_seconds,lcp_finish_seconds,marcher_other_seconds,obstacle_transform_seconds,projected_sweep_seconds,inverse_transform_seconds,residual_audit_seconds,total_sweeps_or_iterations,converged,max_normalized_lcp_residual
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,6,0.36669725000000003,0.36660495901014656,0.0,8.536956738680601e-05,0.3638698818394914,0.0026497076032683253,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,6,0.010013583000000001,0.009936250047758222,0.00010245805606245995,0.0,0.007275796146132052,0.0025579958455637097,0.0004038466140627861,0.004913462325930595,3.1955656595528126e-05,0.00186733843293041,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,6,0.017123,0.017030666931532323,0.0,7.895403541624546e-05,0.014698299346491694,0.0022534135496243834,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,7,0.37119120800000005,0.371102667064406,0.0,8.532754145562649e-05,0.3684556295629591,0.0025617099599912763,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,7,0.016666959000000002,0.016592915984801948,0.0,7.837405428290367e-05,0.014253080589696765,0.0022614613408222795,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,7,0.009385833000000001,0.009337416966445744,9.833299554884434e-05,0.0,0.00694554706569761,0.0022935369051992893,0.0003872566157951951,0.004734000307507813,2.9326765798032284e-05,0.0017400960205122828,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,8,0.016550167,0.016484708059579134,0.0,7.600185927003622e-05,0.014252999564632773,0.0021557066356763244,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,8,0.36841958300000005,0.36833154200576246,0.0,8.186604827642441e-05,0.36584595253225416,0.002403723425231874,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,8,0.009382959,0.009323791950009763,9.820796549320221e-05,0.0,0.006926213391125202,0.002299370593391359,0.00038717547431588173,0.004723584279417992,2.949708141386509e-05,0.0017327545210719109,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,9,0.367679917,0.36758283397648484,0.0,8.112308569252491e-05,0.3651691253762692,0.002332585514523089,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,9,0.016482375,0.016413833014667034,0.0,7.612199988216162e-05,0.014128292328678071,0.002209418686106801,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,9,0.009423,0.009367958060465753,9.783392306417227e-05,0.0,0.006940169143490493,0.0023299549939110875,0.0003930897219106555,0.004677631193771958,3.0876719392836094e-05,0.001781973522156477,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,10,0.362037125,0.3619404169730842,0.0,8.103600703179836e-05,0.3595376252196729,0.0023217557463794947,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,10,0.00927275,0.00921195896808058,0.00010091695003211498,0.0,0.006832460057921708,0.0022785819601267576,0.0003838849952444434,0.00462441414128989,2.9089045710861683e-05,0.0017403096426278353,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,10,0.016470167,0.01640604203566909,0.0,7.603829726576805e-05,0.014197118929587305,0.0021328848088160157,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,11,0.009316000000000001,0.009258041973225772,8.5500068962574e-05,0.0,0.006927172769792378,0.0022453691344708204,0.00038809655234217644,0.004706507897935808,3.0333525501191616e-05,0.0017463002586737275,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,11,0.364093875,0.3639947919873521,0.0,8.153310045599937e-05,0.36153371015097946,0.0023795487359166145,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,11,0.016720417,0.016659292043186724,0.0,7.670745253562927e-05,0.014348623342812061,0.0022339612478390336,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
