regime_id,option_type,q,repeat,order_position,method,elapsed_seconds,solver_reported_seconds,converged
call_T100_s020_r005_q006,call,0.06,19,0,published_dirk_p,0.619643209,0.6191516669932753,True
call_T100_s020_r005_q006,call,0.06,19,1,dirk_policy_sinh,0.663173333,0.6626981250010431,True
call_T100_s020_r005_q006,call,0.06,20,0,dirk_policy_sinh,0.677563583,0.6770754160825163,True
call_T100_s020_r005_q006,call,0.06,20,1,published_dirk_p,0.653292416,0.6528217499144375,True
call_T100_s020_r005_q006,call,0.06,21,0,published_dirk_p,0.615852583,0.6153704999014735,True
call_T100_s020_r005_q006,call,0.06,21,1,dirk_policy_sinh,0.624799542,0.624234874965623,True
call_T100_s020_r005_q006,call,0.06,22,0,dirk_policy_sinh,0.632499584,0.6319653750397265,True
call_T100_s020_r005_q006,call,0.06,22,1,published_dirk_p,0.623693917,0.6232202500104904,True
call_T100_s020_r005_q006,call,0.06,23,0,published_dirk_p,0.633341834,0.6328590831253678,True
call_T100_s020_r005_q006,call,0.06,23,1,dirk_policy_sinh,0.732801167,0.7321035000495613,True
call_T100_s020_r005_q006,call,0.06,24,0,dirk_policy_sinh,0.666239208,0.6657284158281982,True
call_T100_s020_r005_q006,call,0.06,24,1,published_dirk_p,0.671469833,0.6709475831594318,True
call_T100_s020_r005_q006,call,0.06,25,0,dirk_policy_sinh,0.652140375,0.6516094577964395,True
call_T100_s020_r005_q006,call,0.06,25,1,published_dirk_p,0.622003375,0.6214864579960704,True
call_T100_s020_r005_q006,call,0.06,26,0,dirk_policy_sinh,0.627113084,0.6266204998828471,True
call_T100_s020_r005_q006,call,0.06,26,1,published_dirk_p,0.603634125,0.6031353340949863,True
call_T100_s020_r005_q006,call,0.06,27,0,published_dirk_p,0.623001167,0.6225069579668343,True
call_T100_s020_r005_q006,call,0.06,27,1,dirk_policy_sinh,0.608272708,0.6078066250775009,True
call_T100_s020_r005_q006,call,0.06,28,0,dirk_policy_sinh,0.610757709,0.6102952498476952,True
call_T100_s020_r005_q006,call,0.06,28,1,published_dirk_p,0.604219625,0.6037545420695096,True
call_T100_s020_r005_q006,call,0.06,29,0,published_dirk_p,0.590994625,0.5905012500006706,True
call_T100_s020_r005_q006,call,0.06,29,1,dirk_policy_sinh,0.608293125,0.6078094579279423,True
call_T100_s020_r005_q000,call,0.0,0,0,published_dirk_p,0.653093375,0.653018708107993,True
call_T100_s020_r005_q000,call,0.0,0,1,dirk_policy_sinh,0.617659375,0.6172135421074927,True
call_T100_s020_r005_q000,call,0.0,1,0,published_dirk_p,0.641998458,0.6414992499630898,True
call_T100_s020_r005_q000,call,0.0,1,1,dirk_policy_sinh,0.634584292,0.6340945409610868,True
call_T100_s020_r005_q000,call,0.0,2,0,published_dirk_p,0.574769,0.5742817909922451,True
call_T100_s020_r005_q000,call,0.0,2,1,dirk_policy_sinh,0.599919541,0.5994250830262899,True
call_T100_s020_r005_q000,call,0.0,3,0,dirk_policy_sinh,0.617372792,0.6169108329340816,True
call_T100_s020_r005_q000,call,0.0,3,1,published_dirk_p,0.566215792,0.5657338751479983,True
call_T100_s020_r005_q000,call,0.0,4,0,published_dirk_p,0.559666542,0.5592171670868993,True
call_T100_s020_r005_q000,call,0.0,4,1,dirk_policy_sinh,0.630051542,0.6295590829104185,True
call_T100_s020_r005_q000,call,0.0,5,0,published_dirk_p,0.5768985,0.5764302499592304,True
call_T100_s020_r005_q000,call,0.0,5,1,dirk_policy_sinh,0.636656542,0.6361766250338405,True
call_T100_s020_r005_q000,call,0.0,6,0,dirk_policy_sinh,0.641647792,0.6411795830354095,True
call_T100_s020_r005_q000,call,0.0,6,1,published_dirk_p,0.573602292,0.5731339580379426,True
call_T100_s020_r005_q000,call,0.0,7,0,published_dirk_p,0.589185208,0.5887063750997186,True
call_T100_s020_r005_q000,call,0.0,7,1,dirk_policy_sinh,0.691777458,0.6912753749638796,True
call_T100_s020_r005_q000,call,0.0,8,0,dirk_policy_sinh,0.684647084,0.6841220408678055,True
