method_name,split,region,row_count,delta_mae,delta_rmse,delta_max_abs_error,delta_stable_relative_mae,downstream_use_status
supervised_delta_head,train,boundary_near,64834,0.09148283850475898,0.12496067751191335,0.5464630003604114,0.10436699015537323,stage5_delta_diagnostic_only
supervised_delta_head,train,payoff_kink_near,122210,0.0660083618940214,0.09838655023566847,0.5791192352771757,12.45271489275083,stage5_delta_diagnostic_only
supervised_delta_head,train,maturity_row,8686,0.08153425619257491,0.15138184696282603,0.5791192352771757,352.76832919642794,stage5_delta_diagnostic_only
supervised_delta_head,validation,all_allowed,78983,0.0241848433724858,0.03816971673385201,0.3773566144122932,22.485992188623346,stage5_delta_diagnostic_only
supervised_delta_head,validation,strict_interior,78983,0.0241848433724858,0.03816971673385201,0.3773566144122932,22.485992188623346,stage5_delta_diagnostic_only
supervised_delta_head,validation,boundary_near,8027,0.07043520031680947,0.0973044451549488,0.4396135237943498,0.07774841544460771,stage5_delta_diagnostic_only
supervised_delta_head,validation,payoff_kink_near,11495,0.06334582364650423,0.09476308627094322,0.5303950309753416,12.075034381478728,stage5_delta_diagnostic_only
supervised_delta_head,validation,maturity_row,817,0.07511586806254705,0.1436744556517794,0.5303950309753416,322.32327397548875,stage5_delta_diagnostic_only
supervised_delta_head,test,all_allowed,193872,0.04030557594357851,0.05762588026155442,0.503041584307133,20.69196680416558,stage5_delta_diagnostic_only
supervised_delta_head,test,strict_interior,193872,0.04030557594357851,0.05762588026155442,0.503041584307133,20.69196680416558,stage5_delta_diagnostic_only
supervised_delta_head,test,boundary_near,2219,0.10262042495412348,0.12199367763352255,0.4478007845196268,0.10799977149442257,stage5_delta_diagnostic_only
supervised_delta_head,test,payoff_kink_near,26015,0.07104303041501461,0.10185740602117166,0.6600483655929565,17.192438679050632,stage5_delta_diagnostic_only
supervised_delta_head,test,maturity_row,1849,0.10056433658855497,0.1692649143088674,0.6600483655929565,579.043191632688,stage5_delta_diagnostic_only
supervised_delta_head,stress_holdout,all_allowed,103124,0.03376794220338133,0.04806100815073663,0.3690676345627574,1.361372019015791,stage5_delta_diagnostic_only
supervised_delta_head,stress_holdout,strict_interior,103124,0.03376794220338133,0.04806100815073663,0.3690676345627574,1.361372019015791,stage5_delta_diagnostic_only
supervised_delta_head,stress_holdout,boundary_near,6341,0.05771243413404931,0.07744197367974504,0.42906401468032973,0.05876977721519037,stage5_delta_diagnostic_only
supervised_delta_head,stress_holdout,payoff_kink_near,14520,0.05332003021923014,0.07446827333505548,0.5316883921623228,13.288695470874929,stage5_delta_diagnostic_only
supervised_delta_head,stress_holdout,maturity_row,1032,0.10629866450534085,0.17342656665364414,0.5316883921623228,440.5718240170169,stage5_delta_diagnostic_only
