arm,boundary_conditional_mae,boundary_conditional_rmse,boundary_false_count,boundary_found_rate,boundary_missed_count,boundary_predicted_found,boundary_reference_found,delta_rmse,mae,max_abs_error,network_spec,normalized_lcp_residual_max,reference_source,regime_id,region,relative_l2,rmse,runtime_seconds,sample_count,scaled_gamma_rmse,seed,solver_converged,split,total_lcp_iterations,variant
B,nan,nan,0,1.0,0,0,0,0.0006370527607399464,0.00038546871674975067,0.0028920627708636445,not_applicable,4.775891721499177e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,payoff_kink_near,0.006907378052785276,0.0004500893788471955,0.02065500000026077,605,0.011515573533965958,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006370527607399464,0.0,0.0,not_applicable,4.775891721499177e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,maturity_row,0.0,0.0,0.02065500000026077,43,0.011515573533965958,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006370527607399464,3.16364656563235e-05,0.000254001617789025,not_applicable,4.775891721499177e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r001_q000,strict_interior,0.00017942877777331456,6.823020029644076e-05,0.02065500000026077,4560,0.011515573533965958,deterministic,True,test,120,CN+Policy Iteration
A,nan,nan,0,1.0,0,0,0,0.0006557661132171049,7.241783569960034e-05,0.00289198081075474,not_applicable,6.735223680943794e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,all,0.00045959270357758046,0.00016608374435602306,0.2727984999983164,5203,0.011724222610074653,deterministic,True,test,2400,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006557661132171049,6.192555438689128e-08,8.90885407242467e-07,not_applicable,6.735223680943794e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,exercise_region,1.6939817659828378e-06,1.4413737093746288e-07,0.2727984999983164,752,0.011724222610074653,deterministic,True,test,2400,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006557661132171049,8.464242442779636e-05,0.00289198081075474,not_applicable,6.735223680943794e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,continuation_region,0.00046144516254555937,0.00017956645943054475,0.2727984999983164,4451,0.011724222610074653,deterministic,True,test,2400,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006557661132171049,0.00038499577264159134,0.00289198081075474,not_applicable,6.735223680943794e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,payoff_kink_near,0.006627443979527308,0.00044972358055391616,0.2727984999983164,605,0.011724222610074653,deterministic,True,test,2400,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006557661132171049,0.0,0.0,not_applicable,6.735223680943794e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,maturity_row,0.0,0.0,0.2727984999983164,43,0.011724222610074653,deterministic,True,test,2400,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006557661132171049,3.154990278439863e-05,0.00025490803860423947,not_applicable,6.735223680943794e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,strict_interior,0.00017753576622025723,6.811453253977885e-05,0.2727984999983164,4560,0.011724222610074653,deterministic,True,test,2400,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.0006557661132170404,7.241783569965217e-05,0.002891980810754726,not_applicable,4.085984208031006e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,all,0.0004595927035774859,0.00016608374435598888,0.021837600001163082,5203,0.01172422261007513,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006557661132170404,6.192555438690721e-08,8.908854071890358e-07,not_applicable,4.085984208031006e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,exercise_region,1.6939817659834508e-06,1.4413737093751505e-07,0.021837600001163082,752,0.01172422261007513,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006557661132170404,8.464242442785696e-05,0.002891980810754726,not_applicable,4.085984208031006e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,continuation_region,0.00046144516254546434,0.00017956645943050778,0.021837600001163082,4451,0.01172422261007513,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006557661132170404,0.00038499577264153214,0.002891980810754726,not_applicable,4.085984208031006e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,payoff_kink_near,0.006627443979526752,0.0004497235805538784,0.021837600001163082,605,0.01172422261007513,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006557661132170404,0.0,0.0,not_applicable,4.085984208031006e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,maturity_row,0.0,0.0,0.021837600001163082,43,0.01172422261007513,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006557661132170404,3.1549902784465645e-05,0.000254908038604236,not_applicable,4.085984208031006e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r005_q000,strict_interior,0.00017753576622009536,6.811453253971677e-05,0.021837600001163082,4560,0.01172422261007513,deterministic,True,test,120,CN+Policy Iteration
A,nan,nan,0,1.0,0,0,0,0.0006818873987496563,7.25215235385801e-05,0.002891970520445263,not_applicable,5.964640538770754e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,all,0.0004546297055980521,0.0001661242957668948,0.2832873000006657,5203,0.01203037570510255,deterministic,True,test,2520,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006818873987496563,6.466250958852353e-08,9.314105077572975e-07,not_applicable,5.964640538770754e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,exercise_region,1.7526514516085715e-06,1.5063940729867183e-07,0.2832873000006657,737,0.01203037570510255,deterministic,True,test,2520,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006818873987496563,8.44786902601132e-05,0.002891970520445263,not_applicable,5.964640538770754e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,continuation_region,0.00045642168211376384,0.00017930841895052917,0.2832873000006657,4466,0.01203037570510255,deterministic,True,test,2520,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006818873987496563,0.00038500883972163944,0.002891970520445263,not_applicable,5.964640538770754e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,payoff_kink_near,0.006305016694546904,0.0004497481720374311,0.2832873000006657,605,0.01203037570510255,deterministic,True,test,2520,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006818873987496563,0.0,0.0,not_applicable,5.964640538770754e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,maturity_row,0.0,0.0,0.2832873000006657,43,0.01203037570510255,deterministic,True,test,2520,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0006818873987496563,3.166647783764043e-05,0.0002566543313516599,not_applicable,5.964640538770754e-13,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,strict_interior,0.00017582472249931682,6.820576188571538e-05,0.2832873000006657,4560,0.01203037570510255,deterministic,True,test,2520,CN+PSOR
B,nan,nan,0,1.0,0,0,0,0.0006818873987497585,7.252152353847874e-05,0.0028919705204452657,not_applicable,5.434219838038209e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,all,0.0004546297055981982,0.00016612429576694818,0.02038610000090557,5203,0.012030375705102746,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006818873987497585,6.466250958851086e-08,9.314105077587116e-07,not_applicable,5.434219838038209e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,exercise_region,1.7526514516077243e-06,1.5063940729859904e-07,0.02038610000090557,737,0.012030375705102746,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006818873987497585,8.447869025999512e-05,0.0028919705204452657,not_applicable,5.434219838038209e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,continuation_region,0.00045642168211391053,0.00017930841895058677,0.02038610000090557,4466,0.012030375705102746,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006818873987497585,0.00038500883972175014,0.0028919705204452657,not_applicable,5.434219838038209e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,payoff_kink_near,0.0063050166945479574,0.00044974817203750623,0.02038610000090557,605,0.012030375705102746,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006818873987497585,0.0,0.0,not_applicable,5.434219838038209e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,maturity_row,0.0,0.0,0.02038610000090557,43,0.012030375705102746,deterministic,True,test,120,CN+Policy Iteration
B,nan,nan,0,1.0,0,0,0,0.0006818873987497585,3.1666477837510104e-05,0.00025665433135167726,not_applicable,5.434219838038209e-16,DIRK_policy_sinh_M480_N960,call_T025_s040_r010_q000,strict_interior,0.00017582472249952965,6.820576188579794e-05,0.02038610000090557,4560,0.012030375705102746,deterministic,True,test,120,CN+Policy Iteration
A,nan,nan,0,1.0,0,0,0,0.0004591220834005082,7.139870078398817e-05,0.002228291090653223,not_applicable,5.182863034588053e-13,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q000,all,0.0003647931023726695,0.00013213479726213333,0.33807080000042333,5203,0.007533008281915446,deterministic,True,test,3000,CN+PSOR
A,nan,nan,0,1.0,0,0,0,0.0004591220834005082,6.354759088300392e-08,7.195260154176593e-07,not_applicable,5.182863034588053e-13,DIRK_policy_sinh_M480_N960,call_T025_s060_r001_q000,exercise_region,1.1741210812661583e-06,1.4242584642474685e-07,0.33807080000042333,370,0.007533008281915446,deterministic,True,test,3000,CN+PSOR
