representation,mode,singular_value,cumulative_energy
unaligned,145,0.00016296521031929924,0.9999999998102422
unaligned,146,0.0001533466351205609,0.999999999828054
unaligned,147,0.00014590423169075103,0.9999999998441788
unaligned,148,0.0001365484172898262,0.9999999998583019
unaligned,149,0.00012749622633967663,0.9999999998706146
unaligned,150,0.00012676012854220386,0.9999999998827853
unaligned,151,0.00011833020678840877,0.9999999998933913
unaligned,152,0.00011618771806838003,0.9999999999036167
unaligned,153,0.00011198028303930748,0.9999999999131148
unaligned,154,0.00010330622912588705,0.9999999999211986
unaligned,155,0.00010264445433977734,0.999999999929179
unaligned,156,0.00010021457877201465,0.999999999936786
unaligned,157,9.77799357721822e-05,0.9999999999440279
unaligned,158,9.329771623386806e-05,0.9999999999506212
unaligned,159,9.237201404995341e-05,0.9999999999570843
unaligned,160,9.014693158646505e-05,0.9999999999632397
unaligned,161,8.30167595110033e-05,0.9999999999684599
unaligned,162,7.593267617976388e-05,0.9999999999728272
unaligned,163,7.155214616646836e-05,0.9999999999767052
unaligned,164,6.798783364885538e-05,0.9999999999802064
unaligned,165,6.493868638279432e-05,0.9999999999834006
unaligned,166,5.618252287663108e-05,0.9999999999857915
unaligned,167,5.513758816995264e-05,0.9999999999880943
unaligned,168,5.377488997145435e-05,0.9999999999902847
unaligned,169,4.9415559069616875e-05,0.9999999999921343
unaligned,170,4.66258688263526e-05,0.999999999993781
unaligned,171,4.246923257082902e-05,0.999999999995147
unaligned,172,3.67264233786156e-05,0.9999999999961687
unaligned,173,3.508468627785687e-05,0.9999999999971011
unaligned,174,2.836845250287305e-05,0.9999999999977106
unaligned,175,2.7186040792794686e-05,0.9999999999982705
unaligned,176,2.4612182403963184e-05,0.9999999999987293
unaligned,177,1.984372688556619e-05,0.9999999999990277
unaligned,178,1.762180610429958e-05,0.9999999999992629
unaligned,179,1.4699827616355601e-05,0.9999999999994265
unaligned,180,1.2951362650907642e-05,0.9999999999995536
unaligned,181,1.1747150057474506e-05,0.9999999999996582
unaligned,182,1.0846841592520534e-05,0.9999999999997472
unaligned,183,9.566855806278096e-06,0.9999999999998166
unaligned,184,7.634501239963698e-06,0.9999999999998607
unaligned,185,6.690688935718322e-06,0.9999999999998946
unaligned,186,5.673182118284818e-06,0.9999999999999191
unaligned,187,5.023304367201641e-06,0.9999999999999382
unaligned,188,4.4585867400624235e-06,0.9999999999999531
unaligned,189,4.098150925010309e-06,0.9999999999999659
unaligned,190,3.8015179788264354e-06,0.9999999999999769
unaligned,191,3.1454212728875877e-06,0.9999999999999845
unaligned,192,2.8918766151328772e-06,0.9999999999999909
unaligned,193,1.8970847601786306e-06,0.9999999999999937
unaligned,194,1.6889794377071043e-06,0.9999999999999959
unaligned,195,1.3312141322365093e-06,0.9999999999999972
unaligned,196,1.2261117861781808e-06,0.9999999999999984
unaligned,197,1.1442630716219877e-06,0.9999999999999994
unaligned,198,6.677500467192856e-07,0.9999999999999998
unaligned,199,2.2212529965510112e-07,0.9999999999999998
unaligned,200,1.2989636972709975e-07,0.9999999999999998
unaligned,201,8.642256156197481e-08,0.9999999999999998
unaligned,202,1.581612255973234e-14,0.9999999999999998
oracle_boundary_aligned,1,17.482444958622555,0.4499239494498519
oracle_boundary_aligned,2,13.200886741521717,0.706455615727822
oracle_boundary_aligned,3,9.218048355153405,0.8315427767953383
oracle_boundary_aligned,4,5.944425320864715,0.8835608813155694
oracle_boundary_aligned,5,4.935826457674865,0.9194245352635989
oracle_boundary_aligned,6,3.7132734719079297,0.939722319981125
oracle_boundary_aligned,7,2.946709245817683,0.9525046299128455
oracle_boundary_aligned,8,2.676319524727435,0.9630487585826082
oracle_boundary_aligned,9,2.1945032923677523,0.9701381220931468
oracle_boundary_aligned,10,1.7320758123876554,0.9745545237703725
oracle_boundary_aligned,11,1.510092057734288,0.9779114486198358
oracle_boundary_aligned,12,1.3920186005598632,0.9807639433388695
oracle_boundary_aligned,13,1.2104550948659831,0.9829208539031398
