representation,modes,split,region,row_count,premium_mae,premium_rmse,premium_max_abs_error,raw_negative_premium_rate,projected_negative_premium_rate
oracle_boundary_aligned,48,train,strict_interior,861030,0.012865433523270851,0.03165029253447884,0.27055165857916025,0.15198657421924905,0.0
oracle_boundary_aligned,48,validation,all,98857,0.00872724813442563,0.021723134743727866,0.13598935776207757,0.18975894473835944,0.0
oracle_boundary_aligned,48,validation,boundary_near,8027,0.00031945982606127355,0.0006307563203166497,0.006130089784059968,0.2748224741497446,0.0
oracle_boundary_aligned,48,validation,strict_interior,78983,0.009393228702638576,0.02303700559001636,0.13598935776207757,0.20367674056442525,0.0
oracle_boundary_aligned,48,test,all,223729,0.004754229473968964,0.016857846351042743,0.19892829878463836,0.12469103245444266,0.0
oracle_boundary_aligned,48,test,boundary_near,2219,0.0005714662056039026,0.0009056977680023838,0.0035539266701999257,0.2897701667417756,0.0
oracle_boundary_aligned,48,test,strict_interior,193872,0.004689343363584361,0.017603401237763692,0.19892829878463836,0.12990014029875382,0.0
oracle_boundary_aligned,48,stress_holdout,all,124872,0.02717832051744515,0.05470269091554733,0.30814153617208,0.06668428470754052,0.0
oracle_boundary_aligned,48,stress_holdout,boundary_near,6341,0.0002341765687077219,0.0003793411685968834,0.00397672007417755,0.26683488408768335,0.0
oracle_boundary_aligned,48,stress_holdout,strict_interior,103124,0.025963622717740314,0.051158839353404144,0.27581549747309403,0.05959815367906598,0.0
oracle_boundary_aligned,64,train,all,1051006,0.013356534617037856,0.03365832375173497,0.3021745607212695,0.14310003939083127,0.0
oracle_boundary_aligned,64,train,boundary_near,64834,0.00034127042690403666,0.0007230485690917261,0.008451216617741253,0.26550883795539376,0.0
oracle_boundary_aligned,64,train,strict_interior,861030,0.012806362874274625,0.03165948729462241,0.27032405871703596,0.14923405688535823,0.0
oracle_boundary_aligned,64,validation,all,98857,0.008688659385420185,0.021769065854173743,0.13632434413977257,0.1773673083342606,0.0
oracle_boundary_aligned,64,validation,boundary_near,8027,0.0003047158926695699,0.0006122352215941306,0.007808694906713914,0.2900211785224866,0.0
oracle_boundary_aligned,64,validation,strict_interior,78983,0.009389016088628037,0.023109271117081154,0.13632434413977257,0.18660977678740995,0.0
oracle_boundary_aligned,64,test,all,223729,0.004626820842677419,0.016787780039431714,0.2000738717517421,0.12180361061820327,0.0
oracle_boundary_aligned,64,test,boundary_near,2219,0.000515862213584648,0.000854031913625238,0.003986298223206795,0.2744479495268139,0.0
oracle_boundary_aligned,64,test,strict_interior,193872,0.0045662677410830705,0.017535098214954584,0.2000738717517421,0.12629982668977469,0.0
oracle_boundary_aligned,64,stress_holdout,all,124872,0.02704942370200102,0.05462942598608586,0.3077812215853542,0.06801364597347684,0.0
oracle_boundary_aligned,64,stress_holdout,boundary_near,6341,0.00019628042621203426,0.00034816348873592914,0.003701031213779001,0.29222520107238603,0.0
oracle_boundary_aligned,64,stress_holdout,strict_interior,103124,0.025846741501475083,0.0510880663984148,0.2754551828863682,0.0596660331251697,0.0
