case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,target_tau_fraction,target_tau,nearest_tau,time_index,boundary_found,boundary_spot,boundary_moneyness,no_boundary_reason,min_boundary_spot,max_boundary_spot,max_continuation_premium_at_tau,mean_continuation_premium_at_tau_interpretation_region,downstream_use_status
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,0.75,0.75,0.75,90,True,0.833352746722,0.833352746722,,0.833343066636,0.966674702706,0.0515573639792,0.00606603976261,analytics_diagnostic_only
american_put_r_080,american_put,put_interest_rate_sweep,r,0.08,put,1,1,0.08,0.02,0.2,4,120,120,1,1,1,120,True,0.833343066636,0.833343066636,,0.833343066636,0.966674702706,0.0570887746041,0.00757256238175,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.67301123573,1.67301123573,,1.67301123573,1.89785321428,0.00446741146877,0.000155013218291,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.25,0.25,0.25,30,True,1.76580952579,1.76580952579,,1.67301123573,1.89785321428,0.0414474654459,0.00461925069539,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.5,0.5,0.5,60,True,1.82664503226,1.82664503226,,1.67301123573,1.89785321428,0.0599096431819,0.00917366597383,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.75,0.75,0.75,90,True,1.86393626933,1.86393626933,,1.67301123573,1.89785321428,0.0741939822952,0.0136630025687,analytics_diagnostic_only
dividend_call_q_030,dividend_call,call_dividend_yield_sweep,q,0.03,call,1,1,0.05,0.03,0.2,4,120,120,1,1,1,120,True,1.89785321428,1.89785321428,,1.67301123573,1.89785321428,0.0862630086394,0.0180818146826,analytics_diagnostic_only
dividend_call_q_080,dividend_call,call_dividend_yield_sweep,q,0.08,call,1,1,0.05,0.08,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.0661653907,1.0661653907,,1.0661653907,1.26663012494,0.00425969540186,0.000106915197766,analytics_diagnostic_only
dividend_call_q_080,dividend_call,call_dividend_yield_sweep,q,0.08,call,1,1,0.05,0.08,0.2,4,120,120,0.25,0.25,0.25,30,True,1.1666350335,1.1666350335,,1.0661653907,1.26663012494,0.0357611784601,0.00271992288439,analytics_diagnostic_only
dividend_call_q_080,dividend_call,call_dividend_yield_sweep,q,0.08,call,1,1,0.05,0.08,0.2,4,120,120,0.5,0.5,0.5,60,True,1.23208681214,1.23208681214,,1.0661653907,1.26663012494,0.0488665500449,0.00493590676481,analytics_diagnostic_only
dividend_call_q_080,dividend_call,call_dividend_yield_sweep,q,0.08,call,1,1,0.05,0.08,0.2,4,120,120,0.75,0.75,0.75,90,True,1.23331276578,1.23331276578,,1.0661653907,1.26663012494,0.0580100140542,0.00686812415669,analytics_diagnostic_only
dividend_call_q_080,dividend_call,call_dividend_yield_sweep,q,0.08,call,1,1,0.05,0.08,0.2,4,120,120,1,1,1,120,True,1.26663012494,1.26663012494,,1.0661653907,1.26663012494,0.0651311767989,0.00858934715201,analytics_diagnostic_only
dividend_call_q_100,dividend_call,call_dividend_yield_sweep,q,0.1,call,1,1,0.05,0.1,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.03332536396,1.03332536396,,1.03332536396,1.23321138817,0.00418267852111,0.000103347393922,analytics_diagnostic_only
dividend_call_q_100,dividend_call,call_dividend_yield_sweep,q,0.1,call,1,1,0.05,0.1,0.2,4,120,120,0.25,0.25,0.25,30,True,1.13332079124,1.13332079124,,1.03332536396,1.23321138817,0.0339104035533,0.00243111205241,analytics_diagnostic_only
dividend_call_q_100,dividend_call,call_dividend_yield_sweep,q,0.1,call,1,1,0.05,0.1,0.2,4,120,120,0.5,0.5,0.5,60,True,1.19846900575,1.19846900575,,1.03332536396,1.23321138817,0.0454432906594,0.00426063787226,analytics_diagnostic_only
dividend_call_q_100,dividend_call,call_dividend_yield_sweep,q,0.1,call,1,1,0.05,0.1,0.2,4,120,120,0.75,0.75,0.75,90,True,1.19997992229,1.19997992229,,1.03332536396,1.23321138817,0.0531638859229,0.0057850473052,analytics_diagnostic_only
dividend_call_q_100,dividend_call,call_dividend_yield_sweep,q,0.1,call,1,1,0.05,0.1,0.2,4,120,120,1,1,1,120,True,1.23321138817,1.23321138817,,1.03332536396,1.23321138817,0.058991496594,0.0070776691975,analytics_diagnostic_only
dividend_call_q_140,dividend_call,call_dividend_yield_sweep,q,0.14,call,1,1,0.05,0.14,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.0333250766,1.0333250766,,1.0333250766,1.16664700071,0.00403710941366,9.9526876656e-05,analytics_diagnostic_only
dividend_call_q_140,dividend_call,call_dividend_yield_sweep,q,0.14,call,1,1,0.05,0.14,0.2,4,120,120,0.25,0.25,0.25,30,True,1.13311197447,1.13311197447,,1.0333250766,1.16664700071,0.0306266349377,0.00198852211151,analytics_diagnostic_only
dividend_call_q_140,dividend_call,call_dividend_yield_sweep,q,0.14,call,1,1,0.05,0.14,0.2,4,120,120,0.5,0.5,0.5,60,True,1.13332311527,1.13332311527,,1.0333250766,1.16664700071,0.039568825966,0.00328594192043,analytics_diagnostic_only
dividend_call_q_140,dividend_call,call_dividend_yield_sweep,q,0.14,call,1,1,0.05,0.14,0.2,4,120,120,0.75,0.75,0.75,90,True,1.16660169926,1.16660169926,,1.0333250766,1.16664700071,0.0450680076783,0.00424578573624,analytics_diagnostic_only
dividend_call_q_140,dividend_call,call_dividend_yield_sweep,q,0.14,call,1,1,0.05,0.14,0.2,4,120,120,1,1,1,120,True,1.16664700071,1.16664700071,,1.0333250766,1.16664700071,0.048945019942,0.00503099901409,analytics_diagnostic_only
dividend_call_sigma_200,dividend_call,call_volatility_sweep,sigma,0.2,call,1,1,0.05,0.08,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.0661653907,1.0661653907,,1.0661653907,1.26663012494,0.00425969540186,0.000106915197766,analytics_diagnostic_only
dividend_call_sigma_200,dividend_call,call_volatility_sweep,sigma,0.2,call,1,1,0.05,0.08,0.2,4,120,120,0.25,0.25,0.25,30,True,1.1666350335,1.1666350335,,1.0661653907,1.26663012494,0.0357611784601,0.00271992288439,analytics_diagnostic_only
dividend_call_sigma_200,dividend_call,call_volatility_sweep,sigma,0.2,call,1,1,0.05,0.08,0.2,4,120,120,0.5,0.5,0.5,60,True,1.23208681214,1.23208681214,,1.0661653907,1.26663012494,0.0488665500449,0.00493590676481,analytics_diagnostic_only
dividend_call_sigma_200,dividend_call,call_volatility_sweep,sigma,0.2,call,1,1,0.05,0.08,0.2,4,120,120,0.75,0.75,0.75,90,True,1.23331276578,1.23331276578,,1.0661653907,1.26663012494,0.0580100140542,0.00686812415669,analytics_diagnostic_only
dividend_call_sigma_200,dividend_call,call_volatility_sweep,sigma,0.2,call,1,1,0.05,0.08,0.2,4,120,120,1,1,1,120,True,1.26663012494,1.26663012494,,1.0661653907,1.26663012494,0.0651311767989,0.00858934715201,analytics_diagnostic_only
dividend_call_sigma_400,dividend_call,call_volatility_sweep,sigma,0.4,call,1,1,0.05,0.08,0.4,4,120,120,0.01,0.01,0.00833333333333,1,True,1.09990188658,1.09990188658,,1.09990188658,1.73305843928,0.0133545506781,0.00044640705433,analytics_diagnostic_only
dividend_call_sigma_400,dividend_call,call_volatility_sweep,sigma,0.4,call,1,1,0.05,0.08,0.4,4,120,120,0.25,0.25,0.25,30,True,1.43308738239,1.43308738239,,1.09990188658,1.73305843928,0.0752172901138,0.0118722373597,analytics_diagnostic_only
