regime_id,option_type,method,M,N,reference_N,evaluation_nodes,runtime_seconds,converged,max_obstacle_violation,value_max_error,delta_max_error,gamma_max_error,value_rmse,delta_rmse,gamma_rmse,boundary_found,reference_boundary_found,boundary_abs_error,delta_empirical_order,gamma_empirical_order
call_T025_s020_r001_q000,call,dirk_lstable_quadratic,240,60,960,20,0.02397545799612999,True,0.0,2.1072906472574537e-07,6.645724455300872e-06,0.00014438790374571298,1.4540223337334803e-07,3.881429809632342e-06,7.6483218146638e-05,False,False,nan,nan,nan
call_T025_s020_r001_q000,call,dirk_lstable_quadratic,240,120,960,20,0.04654820903670043,True,0.0,5.215500245570048e-08,1.6467799749397827e-06,3.569595618468924e-05,3.603393358002819e-08,9.614462556727997e-07,1.889951174777126e-05,False,False,nan,2.012778666801646,2.016117330975381
call_T025_s020_r001_q000,call,dirk_lstable_quadratic,240,240,960,20,0.09355354204308242,True,0.0,1.2414857308851168e-08,3.920630789466806e-07,8.492904520540634e-06,8.580647896743131e-09,2.288861750697484e-07,4.49587447346381e-06,False,False,nan,2.070490117487162,2.0714307118345325
call_T025_s020_r001_q000,call,dirk_lstable_quadratic,240,480,960,20,0.19161466602236032,True,0.0,2.482033162332087e-09,7.838172566554391e-08,1.6975756800263753e-06,1.7156760153531738e-09,4.575915908066436e-08,8.985821072944787e-07,False,False,nan,2.3224965468936083,2.3227821378645626
call_T025_s020_r001_q000,call,lobatto_iiic_penalty_quadratic,240,60,960,20,0.06068383401725441,True,0.0,8.411139887365415e-07,2.609114448764993e-05,0.0005643426358239445,5.856171911578763e-07,1.5253898507634493e-05,0.00029746154108413274,False,False,nan,nan,nan
call_T025_s020_r001_q000,call,lobatto_iiic_penalty_quadratic,240,120,960,20,0.10968100000172853,True,0.0,2.1404129174618092e-07,6.727194358902011e-06,0.00014529518489903026,1.4823102672096778e-07,3.930893839163577e-06,7.677648121092378e-05,False,False,nan,1.955483383795606,1.9575844559745958
call_T025_s020_r001_q000,call,lobatto_iiic_penalty_quadratic,240,240,960,20,0.21569662494584918,True,0.0,5.4713446856480275e-08,1.7240750265212768e-06,3.728348238718482e-05,3.785241571501699e-08,1.0070042204374092e-06,1.9717089564385023e-05,False,False,nan,1.9641823829208593,1.9623783692962768
call_T025_s020_r001_q000,call,lobatto_iiic_penalty_quadratic,240,480,960,20,0.43610241694841534,True,0.0,1.437659905012545e-08,4.5350569860547196e-07,9.81428804447404e-06,9.941975663326113e-09,2.6482314308548175e-07,5.192446929833247e-06,False,False,nan,1.926629973091812,1.9255810987340498
put_T200_s060_r010_q010,put,cn_quadratic,240,60,960,20,0.017127124941907823,True,0.0,4.579866129450494e-06,1.2256542064603693e-05,0.0013768795407820278,4.1251207745426075e-06,6.589552206968873e-06,0.000446723808796728,True,True,0.0016978837518222822,nan,nan
put_T200_s060_r010_q010,put,cn_quadratic,240,120,960,20,0.030497334082610905,True,0.0,1.1855168827179519e-06,2.7222101806056997e-06,1.0422031837542534e-05,1.0816172967762786e-06,1.4613131603679314e-06,8.74865881156385e-06,True,True,2.4121928398457282e-05,2.1707016431341257,7.045621970464414
