regime_id,option_type,grid,M,N,reference_M,query_nodes,runtime_seconds,converged,max_obstacle_violation,value_max_error,delta_max_error,gamma_max_error,value_rmse,delta_rmse,gamma_rmse,boundary_abs_error,local_grid_spacing,boundary_consistent,delta_empirical_order,gamma_empirical_order
put_T200_s060_r010_q010,put,uniform,240,960,960,36,0.4972491660155356,True,0.0,1.3348057240680777e-05,0.00010808304316090034,0.00026251073166660976,6.639739107449521e-06,6.025420328285857e-05,0.00012424231448408547,0.006955593034132568,0.016666666666666663,True,2.016487338965766,2.142383980717268
put_T200_s060_r010_q010,put,uniform,480,960,960,36,0.8822386659448966,True,0.0,3.4880954724592073e-06,2.4180391596073658e-05,5.15211135139193e-05,1.8715600684503905e-06,1.3785494445444822e-05,2.7091599647039636e-05,0.0009825225514612512,0.00833333333333336,True,2.160230686517692,2.349140723073473
put_T200_s060_r010_q010,put,sinh_strike_concentrated,120,960,960,36,0.3200184579472989,True,0.0,5.2777701873230054e-05,0.00018203875934053038,0.00020738895155925086,3.667273013869781e-05,0.00012853190182878063,0.00014320857727554353,0.017733171176328888,0.03815509329877609,True,nan,nan
put_T200_s060_r010_q010,put,sinh_strike_concentrated,240,960,960,36,0.5075070420280099,True,0.0,1.334062338534392e-05,3.121214209256262e-05,5.8155059276976395e-05,9.010656267162204e-06,2.3788198820388562e-05,1.6081321171851854e-05,0.004251330459366098,0.019464852952904343,True,2.5440663808893857,1.8343624265997027
put_T200_s060_r010_q010,put,sinh_strike_concentrated,480,960,960,36,0.9062336250208318,True,0.0,2.534608169096897e-06,6.7920927830922295e-06,6.633790401666673e-06,1.7452550286507354e-06,5.213842387698819e-06,3.2520024530044095e-06,0.002854626120380066,0.009633964699311437,True,2.200179300953862,3.1319993711396386
call_T200_s060_r010_q010,call,uniform,120,960,960,36,0.32010491704568267,True,0.0,4.299766641469027e-05,0.0001958154528618472,0.0002590813205081144,2.0228115004161803e-05,0.0001261658943904836,0.00017821030979146217,0.003046506344068778,0.033333333333333215,True,nan,nan
call_T200_s060_r010_q010,call,uniform,240,960,960,36,0.5010012079728767,True,0.0,1.044276747552697e-05,4.8969502026374734e-05,6.537285635477286e-05,5.71826235679046e-06,3.07971240027506e-05,4.4804834085259465e-05,0.0017629363665174758,0.016666666666666607,True,1.9995391899556234,1.9866413627171926
call_T200_s060_r010_q010,call,uniform,480,960,960,36,0.9298296669730917,True,0.0,2.3911036915735817e-06,1.134363863120047e-05,1.6423785417107872e-05,1.5559381980775042e-06,7.022013803879499e-06,1.1450077793626603e-05,0.005573214432287088,0.008333333333333304,True,2.1100000460888997,1.9929050513035507
call_T200_s060_r010_q010,call,sinh_strike_concentrated,120,960,960,36,0.3196261249249801,True,0.0,5.811225850865798e-05,7.206577351159815e-05,3.4255415169714976e-05,4.78908280386528e-05,6.298572758457628e-05,2.6128337355566115e-05,0.03870555681890009,0.10763124445322303,True,nan,nan
call_T200_s060_r010_q010,call,sinh_strike_concentrated,240,960,960,36,0.49806704197544605,True,0.0,1.4469615042811412e-05,1.6577272539786136e-05,7.270330249831147e-06,1.1240291536544621e-05,1.4607277717597728e-05,5.331576434942278e-06,0.01936374188362988,0.05283374272801389,True,2.120107577542923,2.2362392662450845
call_T200_s060_r010_q010,call,sinh_strike_concentrated,480,960,960,36,0.9112795420223847,True,0.0,2.8095670794869854e-06,3.3683555772379137e-06,1.3915659047847306e-06,2.2390031075896874e-06,2.9469514106137745e-06,1.0477308513149827e-06,0.009313020424202012,0.02665830784712142,True,2.2990903113279346,2.3853116625227884
put_T200_s020_r001_q010,put,uniform,120,960,960,36,0.31817391607910395,True,0.0,0.00019326792524371195,0.0002460064943007323,0.0021103945262286317,9.855556491492832e-05,0.00012373568369767644,0.0010295913542120285,0.01853982391683888,0.03333333333333334,True,nan,nan
put_T200_s020_r001_q010,put,uniform,240,960,960,36,0.4918525000102818,True,0.0,4.9652790867743546e-05,6.245324645215433e-05,0.0006188836419793731,2.5323609700759563e-05,3.169459287768184e-05,0.0002657510012879481,0.0020174824261912083,0.016666666666666677,True,1.9778479283867763,1.7697726327870817
put_T200_s020_r001_q010,put,uniform,480,960,960,36,0.8669449579901993,True,0.0,1.2119848559810631e-05,1.440147833708938e-05,0.00015532125186989987,6.116784994952672e-06,7.778574475256974e-06,6.723859408826384e-05,0.0012380579499156746,0.008333333333333331,True,2.1165596536758278,1.994412949513202
put_T200_s020_r001_q010,put,sinh_strike_concentrated,120,960,960,36,0.32334804197307676,True,0.0,2.7489130935365313e-05,9.355642010488996e-05,0.000245099428302864,2.072865603796787e-05,3.451955514708355e-05,0.00012175660672687033,0.027966210808364214,0.05412867232526597,True,nan,nan
put_T200_s020_r001_q010,put,sinh_strike_concentrated,240,960,960,36,0.5388674159767106,True,0.0,6.6839558999221005e-06,2.1929358615113692e-05,5.8615010880003204e-05,4.90720160749978e-06,8.391068330882166e-06,3.0381801577700797e-05,0.0002810721970286506,0.0277115677555837,True,2.0929730416451258,2.064025038272688
put_T200_s020_r001_q010,put,sinh_strike_concentrated,480,960,960,36,1.0461401250213385,True,0.0,1.2983990290704739e-06,4.278041210059591e-06,1.242692982861282e-05,9.660296046591587e-07,1.7154282035973044e-06,6.328218863348415e-06,0.00010476857238771176,0.013491720766483195,True,2.357841331953729,2.237800264539076
call_T200_s020_r010_q010,call,uniform,120,960,960,36,0.32156204199418426,True,0.0,0.0001524638157197472,0.00020411054904934112,0.00229608368279699,6.41287298409847e-05,0.0001171364233545274,0.0013040718300628914,0.015083971513207839,0.03333333333333344,True,nan,nan
